Name,Sex,Equipment,Age,BodyweightKg,BestSquatKg,BestDeadliftKg,BestBenchKg
Carlos Ceron,M,Raw,23.0,87.3,205.0,235.0,125.0
Tito Herrera,M,Wraps,23.0,73.48,220.0,260.0,157.5
Levi Lehman,M,Raw,26.0,112.4,142.5,220.0,145.0
Stacy Hayford,F,Raw,35.0,59.42,95.0,102.5,60.0
Brittany Hirt,F,Raw,26.5,61.4,105.0,127.5,60.0
Zoran Jankovski,M,Wraps,23.0,113.5,260.0,285.0,160.0
Mitchell Hayes,M,Raw,22.5,90.55,162.5,200.0,107.5
John Gibson,M,Raw,24.0,100.0,200.0,227.5,180.0
Sakiko Ito,F,Single-ply,19.5,51.2,115.0,127.5,62.5
Lorrie Bosen,F,Raw,54.0,65.25,72.5,115.0,55.0
Joe Kiser,M,Wraps,28.0,73.0,157.5,205.0,105.0
Eric Loyola,M,Raw,47.0,88.0,220.0,207.5,132.5
Hevher Mendez,M,Raw,24.5,79.1,172.5,210.0,105.0
Christopher Richards,M,Wraps,25.0,82.5,183.7,226.8,111.13
Jamey Grotjahn,M,Raw,42.5,174.25,292.5,322.5,250.0
Samyra Abweh,F,Raw,17.0,47.5,90.0,135.0,77.5
Roque Domingues,M,Wraps,27.0,89.6,215.0,235.0,130.0
Jessica Royse,F,Raw,37.5,106.2,102.5,140.0,60.0
Geoffery Bennett,M,Raw,38.0,81.8,190.0,237.5,122.5
Amber Damian,F,Raw,27.5,67.1,122.5,155.0,92.5
Julio Serrano,M,Wraps,25.0,99.0,310.0,350.0,172.5
Lauryn Cudworth,F,Raw,19.5,58.6,110.0,157.5,52.5
Emily Rodriguez,F,Raw,18.5,46.7,85.0,115.0,45.0
Katerina Skudrikova,F,Raw,18.5,81.5,110.0,135.0,67.5
Andres Cuadros,M,Raw,20.0,91.99,197.5,235.0,117.5
Jessica Thornton,F,Single-ply,15.0,66.2,105.0,122.5,65.0
Dan Wyman,M,Wraps,47.0,98.66,204.12,204.12,106.59
Alastair MacNicol,M,Raw,29.0,99.4,292.5,342.5,185.0
Florian Loock,M,Raw,33.5,105.0,250.0,280.0,212.5
Heidi Colvin,F,Single-ply,17.5,80.3,167.5,152.5,70.0
Emily Boudreau,F,Wraps,20.0,61.7,97.5,125.0,55.0
Yi Chen,F,Wraps,54.0,54.43,82.5,90.0,40.0
Justin Dela Cruz,M,Raw,17.5,58.0,97.5,135.0,65.0
Eulicez Gonzalez,M,Raw,18.5,57.4,142.5,182.5,107.5
Caitlyn Cooper,F,Single-ply,18.5,65.1,145.0,135.0,75.0
Geoffrey Stanford,M,Wraps,24.0,109.0,320.0,320.0,185.0
Sheena Hodges,F,Raw,31.0,73.7,142.5,152.5,80.0
Rebekah Shirley,F,Raw,20.0,54.0,92.5,127.5,45.0
Justin Bennett,M,Wraps,26.0,108.8,255.0,302.5,193.0
Darrell Brassell,M,Wraps,22.0,80.74,265.35,278.96,192.78
Curt Shaver,M,Wraps,48.0,95.2,180.0,255.0,167.5
Leland Tien,M,Wraps,30.5,133.58,283.5,317.51,244.94
Aleksandr Kapturov,M,Raw,21.5,73.2,242.5,257.5,130.0
Fulton White,M,Single-ply,52.0,73.94,205.0,235.0,145.0
Nathan Morace,M,Raw,22.0,79.06,220.0,227.5,142.5
Doug Owen,M,Wraps,18.0,107.23,225.0,267.5,152.5
Tanner Madison,M,Wraps,16.0,56.0,160.0,167.5,115.0
Sarah Horrox,F,Raw,20.5,83.9,145.0,160.0,82.5
Mehar Bhogal,M,Single-ply,19.5,82.0,225.0,227.5,160.0
David Herrera,M,Raw,30.0,81.1,275.0,322.5,175.0
Vincent Casenove,M,Single-ply,43.5,72.74,220.0,230.0,147.5
Cindy Meeker,F,Wraps,53.0,66.45,85.0,115.0,52.5
Sean Cox,M,Raw,23.5,112.6,235.0,282.5,147.5
Lynsey Johnson,F,Wraps,26.0,51.35,97.52,115.67,68.04
Kylie Podeswa,F,Raw,17.5,61.8,110.0,115.0,57.5
Harri Hagfors,M,Single-ply,55.5,92.18,252.5,265.0,177.5
Cat Dupuis,F,Raw,35.0,82.2,140.0,165.0,92.5
Richard Loza,M,Wraps,33.0,105.7,232.5,272.5,157.5
Andrew Ronayne,M,Wraps,44.0,92.35,175.0,182.5,117.5
Matt Livesay,M,Wraps,40.0,106.59,192.78,163.29,142.88
Grady Gulbrandson,M,Single-ply,16.5,88.95,170.0,232.5,120.0
Harby Limon,M,Raw,38.0,135.17,220.0,250.0,197.5
Dillon Smith,M,Wraps,24.0,85.0,240.0,227.5,160.0
Cara Westin,F,Single-ply,45.0,68.4,170.0,167.5,122.5
Marianne Kosonen,F,Multi-ply,24.0,47.63,222.5,165.0,122.5
Ryan Hammons,M,Raw,21.0,74.07,197.5,227.5,147.5
April Ritenour,F,Raw,23.5,71.9,142.5,142.5,70.0
William Ha,M,Raw,30.0,99.0,235.0,260.0,157.5
Robb Grisham,M,Single-ply,,111.6,160.0,155.0,82.5
Magdalena Bialek,F,Single-ply,21.5,82.9,227.5,202.5,115.0
Sam Hardy,M,Wraps,25.0,109.15,267.5,285.0,170.0
Bill Newman,M,Single-ply,26.0,123.83,342.5,295.0,247.5
Kenneth Cameron,M,Raw,38.0,108.41,225.0,277.5,157.5
Phanetavanh Outhavong,F,Raw,34.5,70.93,140.0,157.5,75.0
Micheal Seay,M,Raw,20.5,73.0,232.5,260.0,150.0
Pam Windrum,F,Single-ply,27.5,94.9,180.0,160.0,105.0
Gerald Dionio,M,Raw,21.0,58.0,177.5,232.5,137.5
Joe Reinicke,M,Single-ply,17.5,78.38,222.3,229.1,120.2
Anna Fetter,F,Raw,26.0,96.7,72.5,105.0,50.0
Steve Stout,M,Single-ply,53.5,92.2,197.5,245.0,172.5
Christian Fisher,M,Multi-ply,35.5,104.1,297.1,249.48,213.19
Susan Bartley,F,Single-ply,40.0,80.0,137.5,167.5,85.0
Chris Kessler,M,Wraps,31.0,89.81,182.5,207.5,115.0
Max Bristow,M,Single-ply,69.5,65.3,155.0,215.0,87.5
Rachel Opio,F,Raw,31.5,76.1,105.0,132.5,52.5
Tracee Patterson,F,Raw,37.0,81.6,115.0,172.5,80.0
Samantha Thomasson,F,Raw,17.5,62.5,130.0,137.5,88.0
Brittani Stephan,F,Wraps,20.0,88.6,105.0,117.5,55.0
Wynter Addams,F,Wraps,19.0,67.2,212.5,190.0,112.5
Michael Howell,M,Raw,29.0,120.97,295.0,335.0,192.5
Courtney Hart,M,Wraps,41.0,107.0,295.0,265.0,187.5
Jeffrey Johnstone,M,Raw,31.5,76.3,155.0,215.0,90.0
Shayle Dudash Williams,F,Raw,40.0,65.2,115.0,137.5,62.5
Charmane Smith,F,Raw,30.5,101.1,135.0,182.5,75.0
Haylee Lindquist,F,Raw,26.0,51.7,102..5,100.0,52.5
Lachlan Rickards,M,Raw,21.5,86.9,210.0,230.0,127.5
TJ Gerking,M,Raw,22.0,87.4,222.5,260.0,130.0
Leslie Nelson,M,Single-ply,25.0,73.14,114.99,172.48,92.42
Nate Wagoner,M,Wraps,24.0,85.9,227.5,255.0,155.0
Rex Reguindin,M,Raw,20.0,88.8,220.0,245.0,142.5
Robert Currie,M,Raw,23.0,95.44,205.0,272.5,142.5
Bart Moffitt,M,Raw,26.0,98.5,182.5,195.0,130.0
Andrew King,M,Wraps,19.0,147.05,295.02,272.52,227.52
Sam Bowles,M,Wraps,22.0,67.22,149.69,204.12,108.86
Theresa Hayes,F,Raw,32.0,96.52,130.0,142.5,75.0
Marcus Midkiff,M,Wraps,31.0,74.57,167.83,231.33,122.47
William Moore,M,Wraps,35.0,78.02,165.56,206.38,111.13
Chiaki Takada,F,Raw,50.5,46.3,77.5,105.0,50.0
Don McKinney,M,Raw,54.5,120.1,230.0,245.0,167.5
Stephanie Cantrell,F,Raw,39.0,82.9,135.0,177.5,65.0
Corey Fleagle,M,Wraps,31.0,89.3,247.5,297.5,167.5
Chip Holston,M,Raw,42.0,97.5,260.0,272.5,165.0
Daria Vakhrameeva,F,Single-ply,15.5,59.8,167.5,145.0,115.5
Ross Buckwalter,M,Raw,27.5,92.85,230.0,272.5,127.5
Neil Shah,M,Raw,24.0,79.5,152.5,217.5,105.0
Charlie Krause,M,Wraps,57.0,133.81,182.5,215.0,135.0
Corey Mueller,F,Raw,24.5,59.9,112.5,150.0,55.0
Nygil Chamber,M,Raw,36.0,127.5,192.5,210.0,190.0
Nadia Renee,F,Raw,33.5,55.97,117.5,135.0,70.0
Roy Hegge,M,Raw,63.0,97.07,165.0,190.0,117.5
Allie Perry,F,Raw,16.5,93.0,125.0,122.5,60.0
Logan Rogers,M,Single-ply,18.5,92.1,285.0,287.5,172.5
Melissa Wakefield,F,Raw,28.0,74.5,117.5,165.0,67.5
Xiang-Ting Fu,M,Raw,21.5,87.3,182.5,242.5,125.0
Jaimie Clarke,M,Raw,31.5,57.85,85.0,160.0,97.5
Andrey Kirindyasov,M,Wraps,27.0,96.5,245.0,230.0,175.0
Ali Gascoine,F,Raw,52.5,49.9,90.0,155.5,57.5
